Brand_Model,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
OPPO Reno,5,Rock Grey,4.3,8,256,6.7,50,5000,194936.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.6,12,256,6.7,50,4600,3451.0,11.0,39999.0
SAMSUNG Galaxy,,Nightsky Green,4.3,4,64,6.6,50,6000,194936.0,50.0,7499.0
APPLE iPhone,,Blue,4.6,,128,6.1,48,,264489.0,16.0,66999.0
SAMSUNG Galaxy,,Waterfall Blue,4.3,4,64,6.6,50,6000,194936.0,50.0,7499.0
APPLE iPhone,,Midnight,4.2,,128,6.1,12,,89734.0,17.0,57999.0
SAMSUNG Galaxy,,Sunrise Copper,4.6,4,64,6.6,50,6000,3451.0,50.0,7499.0
SAMSUNG Galaxy,,Opal Green,4.2,4,64,6.5,13,5000,89734.0,47.0,5999.0
APPLE iPhone,,Black,4.6,,128,6.1,48,,264489.0,16.0,66999.0
SAMSUNG Galaxy,,Jade Purple,4.6,4,64,6.5,13,5000,264489.0,47.0,5999.0
APPLE iPhone,,Purple,4.6,,128,6.1,12,,3451.0,17.0,57999.0
APPLE iPhone,,Starlight,4.6,,128,6.1,12,,264489.0,17.0,57999.0
APPLE iPhone,,Green,4.6,,128,6.1,48,,1374.0,16.0,66999.0
APPLE iPhone,,Blue,4.2,,128,6.1,12,,46418.0,17.0,57999.0
APPLE iPhone,,Blue,4.2,,128,6.7,48,,46418.0,14.0,76999.0
MOTOROLA g4,5,Pearl Blue,4.3,8,128,6.5,50,6000,62300.0,22.0,13999.0
MOTOROLA g4,5,Midnight Blue,4.3,8,128,6.5,50,6000,62300.0,22.0,13999.0
realme C51,,Mint Green,4.2,4,64,6.74,50,5000,50496.0,18.0,8999.0
realme C51,,Mint Green,4.3,4,128,6.74,50,5000,62300.0,20.0,9499.0
MOTOROLA g4,5,Pearl Blue,4.3,12,256,6.5,50,6000,62300.0,27.0,15999.0
realme C51,,Carbon Black,4.3,4,64,6.74,50,5000,31680.0,18.0,8999.0
realme C51,,Carbon Black,4.3,4,128,6.74,50,5000,701.0,20.0,9499.0
MOTOROLA Edge,,Black Beauty,4.2,12,256,6.55,50,5000,,16.0,24999.0
REDMI Note,5,Fusion Purple,3.0,8,256,6.67,200,5000,,5.0,31999.0
MOTOROLA Edge,,Soothing Sea,4.4,8,128,6.55,50,5000,20612.0,17.0,22999.0
POCO M6,5,Power Black,4.3,6,128,6.79,50,5000,61402.0,29.0,11999.0
OPPO Reno,5,Rock Grey,4.3,8,256,6.7,50,5000,58991.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.4,12,256,6.7,50,4600,311696.0,11.0,39999.0
vivo T2x,5,Aurora Gold,4.3,8,128,6.58,50,5000,61402.0,28.0,14999.0
vivo T2x,5,Glimmer Black,4.4,6,128,6.58,50,5000,311696.0,31.0,12999.0
POCO M6,5,Forest Green,4.4,6,128,6.79,50,5000,311696.0,29.0,11999.0
vivo T2x,5,Marine Blue,4.4,6,128,6.58,50,5000,148034.0,31.0,12999.0
vivo T2x,5,Aurora Gold,4.4,6,128,6.58,50,5000,148034.0,31.0,12999.0
vivo T2x,5,Marine Blue,4.3,4,128,6.58,50,5000,58991.0,33.0,11999.0
vivo T2x,5,Glimmer Black,4.4,4,128,6.58,50,5000,148034.0,33.0,11999.0
vivo T2x,5,Marine Blue,4.3,8,128,6.58,50,5000,3274.0,28.0,14999.0
vivo T2x,5,Aurora Gold,4.6,4,128,6.58,50,5000,1374.0,33.0,11999.0
POCO M6,5,Orion Blue,4.6,4,128,6.74,50,5000,264489.0,23.0,9999.0
APPLE iPhone,,Black,4.2,,128,6.7,48,,33534.0,14.0,76999.0
APPLE iPhone,,Purple,4.3,,256,6.1,12,,58991.0,14.0,67999.0
SAMSUNG Galaxy,5,GOAT Green,4.0,4,128,6.6,50,6000,163658.0,40.0,10490.0
vivo T2x,5,Glimmer Black,4.1,8,128,6.58,50,5000,105582.0,28.0,14999.0
POCO C51,,Royal Blue,4.2,4,64,6.52,8,5000,81524.0,42.0,5799.0
POCO C55,,Cool Blue,4.2,6,128,6.71,50,5000,46418.0,46.0,7499.0
SAMSUNG Galaxy,5,OMG Black,4.1,6,128,6.6,50,6000,2945.0,37.0,11490.0
MOTOROLA g4,5,Mint Green,4.2,8,128,6.5,50,6000,95033.0,22.0,13999.0
REDMI A2,,Aqua Blue,4.2,2,64,6.52,8,5000,,47.0,5299.0
POCO C55,,Forest Green,5.0,4,64,6.71,50,5000,,45.0,6499.0
POCO M6,5,Galactic Black,4.3,4,128,6.74,50,5000,3274.0,23.0,9999.0
OnePlus Nord,5,Blue Tide,4.4,6,128,6.59,64,5000,148959.0,7.0,18570.0
MOTOROLA e13,,Cosmic Black,4.1,4,64,6.5,13,5000,88703.0,40.0,6499.0
POCO M4,5,Cool Blue,4.2,6,128,6.58,50,5000,52447.0,42.0,10999.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,4133.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,3271.0,11.0,39999.0
POCO C51,,Royal Blue,4.3,6,128,6.52,8,5000,124699.0,40.0,6499.0
POCO M6,5,Forest Green,4.2,8,256,6.79,50,5000,137902.0,27.0,12999.0
Samsung Galaxy,5,Lavender,4.2,8,256,6.4,12,4500,137902.0,54.0,33999.0
Infinix HOT,,Glacier Blue,4.3,8,128,6.6,50,5000,31680.0,30.0,8299.0
Infinix HOT,,Diamond White,4.2,8,128,6.6,50,5000,34936.0,30.0,8299.0
MOTOROLA Edge,,Soothing Sea,4.2,12,256,6.55,50,5000,69035.0,16.0,24999.0
POCO X,5,Supernova Green,4.2,6,128,6.67,48,5000,19871.0,38.0,12999.0
MOTOROLA Edge,,Nebula Green,4.4,8,256,6.5,50,4400,20612.0,22.0,26999.0
POCO X,5,Supernova Green,4.2,8,256,6.67,48,5000,26664.0,41.0,13999.0
MOTOROLA Edge,,Black Beauty,4.2,8,128,6.55,50,5000,26664.0,17.0,22999.0
Infinix HOT,,Glacier Blue,4.2,4,64,6.6,50,5000,26664.0,23.0,7699.0
Infinix HOT,,Mirror Black,4.3,4,64,6.6,50,5000,89482.0,23.0,7699.0
Infinix HOT,,Diamond White,4.3,4,64,6.6,50,5000,124699.0,23.0,7699.0
REDMI 12,,Moonstone Silver,4.6,4,128,6.79,50,5000,59225.0,36.0,9499.0
Samsung Galaxy,5,Lavender,4.2,8,128,6.4,12,4500,137902.0,54.0,31999.0
APPLE iPhone,,Blue,4.4,,128,6.7,12,,88590.0,17.0,65999.0
Infinix HOT,,Mirror Black,4.6,8,128,6.6,50,5000,,30.0,8299.0
vivo T2,5,Velocity Wave,5.0,6,128,6.38,64,4500,,29.0,16999.0
OPPO Reno,5,Rock Grey,4.3,8,256,6.7,50,5000,9253.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,9253.0,11.0,39999.0
Infinix SMART,,Crystal Green,4.3,3,64,6.6,13,5000,9253.0,21.0,6299.0
Infinix SMART,,Shiny Gold,4.4,3,64,6.6,13,5000,102889.0,21.0,6299.0
Infinix SMART,,Timber Black,4.4,3,64,6.6,13,5000,10020.0,21.0,6299.0
realme 11x,5,Midnight Black,4.3,6,128,6.72,64,5000,1936.0,11.0,14999.0
Nothing Phone,,2,4.2,12,512,6.7,50,4700,26664.0,28.0,42999.0
POCO M6,5,Orion Blue,4.3,6,128,6.74,50,5000,15763.0,21.0,10999.0
Infinix HOT,,Marigold,4.3,4,64,6.6,50,5000,15763.0,23.0,7699.0
vivo T2,5,Velocity Wave,4.4,8,128,6.38,64,4500,88590.0,24.0,18999.0
vivo T2,5,Nitro Blaze,4.5,8,128,6.38,64,4500,3563.0,24.0,18999.0
vivo T2,5,Nitro Blaze,4.6,6,128,6.38,64,4500,264489.0,29.0,16999.0
SAMSUNG Galaxy,5,Green,4.4,8,256,6.1,50,3900,102889.0,27.0,69999.0
APPLE iPhone,,Blue,4.2,,256,6.1,12,,52447.0,14.0,67999.0
realme 11x,5,Purple Dawn,4.3,6,128,6.72,64,5000,51469.0,11.0,14999.0
POCO M4,5,Power Black,4.3,6,128,6.58,50,5000,89482.0,42.0,10999.0
POCO M6,5,Forest Green,4.3,4,128,6.79,50,5000,12360.0,31.0,10999.0
REDMI 12,,Jade Black,4.2,4,128,6.79,50,5000,69035.0,36.0,9499.0
realme 11x,5,Purple Dawn,4.1,8,128,6.72,64,5000,2945.0,15.0,15999.0
MOTOROLA Edge,,Eclipse Black,4.5,8,256,6.5,50,4400,57453.0,22.0,26999.0
REDMI A2,,Classic Black,4.0,2,64,6.52,8,5000,65.0,47.0,5299.0
vivo T2,5,Dune Gold,4.5,8,128,6.78,64,4600,3563.0,11.0,23999.0
I Kall,,Dark Purple,4.3,6,128,6.8,21,6000,,20.0,9499.0
SAMSUNG Galaxy,5,Cream,5.0,8,128,6.1,50,3900,,27.0,64999.0
OPPO Reno,5,Rock Grey,4.4,8,256,6.7,50,5000,42632.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.2,12,256,6.7,50,4600,363.0,11.0,39999.0
OnePlus Nord,5,Chromatic Gray,4.2,8,256,6.72,108,5000,4049.0,3.0,21234.0
REDMI 13c,5,Startrail Silver,4.4,6,128,6.74,50,5000,42632.0,20.0,12712.0
Infinix Note,5,Sunset Gold,4.3,4,128,6.78,108,5000,1783.0,16.0,14999.0
OnePlus Nord,5,Pastel lime,4.5,8,256,6.72,108,5000,3563.0,2.0,21394.0
realme 11,5,Astral Black,4.3,12,256,6.7,100,5000,259.0,9.0,27999.0
SAMSUNG Galaxy,5,Phantom Black,4.4,8,256,6.1,50,3900,17047.0,27.0,69999.0
REDMI Note,5,Fusion Purple,4.4,12,512,6.67,200,5000,17047.0,5.0,35999.0
realme 11,5,Oasis Green,4.4,12,256,6.7,200,5000,17047.0,9.0,29999.0
realme 11,5,Sunrise Beige,4.1,12,256,6.7,200,5000,2017.0,9.0,29999.0
realme 11,5,Astral Black,4.1,12,256,6.7,200,5000,104496.0,9.0,29999.0
REDMI A2+,,Sea Green,4.4,4,128,6.52,8,5000,42632.0,41.0,7333.0
MOTOROLA G32,,Satin Maroon,4.1,8,128,6.5,50,5000,2017.0,47.0,9999.0
OnePlus Nord,5,Pastel Lime,4.6,8,128,6.72,108,5000,264489.0,4.0,19137.0
REDMI A2+,,Classic Black,4.3,4,128,6.52,8,5000,5716.0,41.0,7345.0
APPLE iPhone,,(PRODUCT,4.3,,128,6.1,12,,14462.0,17.0,57999.0
REDMI 12,5,Jade Black,4.3,4,128,6.79,50,5000,1783.0,15.0,13499.0
REDMI 12,5,Jade Black,4.2,6,128,6.79,50,5000,370.0,25.0,13339.0
realme 11,5,Sunrise Beige,4.3,12,256,6.7,100,5000,124699.0,9.0,27999.0
REDMI 13c,5,Startrail Silver,4.2,4,128,6.74,50,5000,363.0,17.0,11508.0
Samsung Galaxy,5,Navy,4.3,8,128,6.4,12,4500,3107.0,54.0,31999.0
REDMI 13c,5,Starlight Black,4.3,6,128,6.74,50,5000,,22.0,12378.0
POCO C65,,Matte Black,5.0,4,128,6.74,50,5000,,31.0,7499.0
REDMI A2+,,Aqua Blue,4.1,4,128,6.52,8,5000,2017.0,39.0,7564.0
POCO M4,5,Yellow,4.2,6,128,6.58,50,5000,52447.0,42.0,10999.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,15425.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,124699.0,11.0,39999.0
Infinix NOTE,,Force Black,4.3,4,64,6.7,50,5000,14462.0,34.0,8499.0
Samsung Galaxy,5,Navy,4.2,8,256,6.4,12,4500,503.0,54.0,33999.0
REDMI 12,5,Moonstone Silver,4.2,6,128,6.79,50,5000,52776.0,23.0,13798.0
POCO M6,5,Galactic Black,4.4,8,256,6.74,50,5000,354.0,18.0,12999.0
REDMI Note,5,Glacier Blue,4.2,6,128,6.67,50,5000,15425.0,21.0,21999.0
REDMI 13c,,Stardust Black,4.6,4,128,6.74,50,5000,2841.0,25.0,8900.0
Infinix NOTE,,Metaverse Blue,4.2,4,64,6.7,50,5000,1606.0,34.0,8499.0
SAMSUNG Galaxy,5,Cream,4.4,12,256,6.8,200,5000,354.0,16.0,124999.0
SAMSUNG Galaxy,5,Prism Silver,4.2,6,128,6.5,50,6000,38978.0,33.0,16260.0
REDMI 13c,,Starshine Green,4.1,4,128,6.74,50,5000,199.0,23.0,9185.0
OPPO Reno10,5,Ice Blue,4.4,8,256,6.7,64,5000,83111.0,15.0,32999.0
REDMI 13c,,Starshine Green,4.4,6,128,6.74,50,5000,83111.0,29.0,9888.0
realme 11,5,Sunrise Beige,4.6,8,256,6.7,100,5000,207174.0,10.0,24999.0
realme 11,5,Oasis Green,4.4,8,256,6.7,100,5000,83111.0,10.0,24999.0
APPLE iPhone,,White,4.2,,64,6.1,12,,215.0,15.0,41999.0
realme 11,5,Astral Black,4.1,8,256,6.7,100,5000,104496.0,10.0,24999.0
REDMI 13c,,Stardust Black,4.6,8,256,6.74,50,5000,207174.0,32.0,10865.0
MOTOROLA G32,,Rose Gold,4.6,8,128,6.5,50,5000,59225.0,47.0,9999.0
APPLE iPhone,,Blue,4.2,,128,6.1,12,,,14.0,46999.0
APPLE iPhone,,Starlight,5.0,,128,6.7,12,,,17.0,65999.0
REDMI Note,5,Glacier Blue,4.2,6,128,6.67,50,5000,52776.0,21.0,21999.0
POCO C65,,Pastel Blue,4.3,4,128,6.74,50,5000,3107.0,31.0,7499.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,15425.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.2,12,256,6.7,50,4600,74386.0,11.0,39999.0
Infinix NOTE,,Metaverse Blue,4.2,4,64,6.7,50,5000,65922.0,34.0,8499.0
Infinix Note,5,Magic Black,4.6,8,256,6.78,108,5000,2841.0,25.0,14999.0
SAMSUNG GT-E1215ZKAINS,,,4.2,,,1.5,,800,38978.0,26.0,1479.0
SAMSUNG Galaxy,5,Cream,4.2,12,256,6.8,200,5000,13205.0,16.0,124999.0
OPPO Reno10,5,Ice Blue,4.2,8,256,6.7,64,5000,24459.0,15.0,32999.0
SAMSUNG Galaxy,5,Icy Silver,4.6,6,128,6.6,50,6000,207174.0,30.0,13190.0
SAMSUNG Galaxy,5,Orchid Violet,4.6,6,128,6.5,50,6000,59225.0,34.0,15999.0
APPLE iPhone,,White,4.6,,64,6.1,12,,207174.0,15.0,41999.0
APPLE iPhone,,Starlight,4.2,,128,6.7,12,,74386.0,17.0,65999.0
APPLE iPhone,,Blue,4.2,,128,6.1,12,,74386.0,14.0,46999.0
Infinix Note,5,Sunset Gold,4.2,8,256,6.78,108,5000,69035.0,25.0,14999.0
Infinix Note,5,Interstellar Blue,4.2,8,256,6.78,108,5000,503.0,25.0,14999.0
MOTOROLA Edge,,Viva Magenta,4.1,8,256,6.5,50,4400,25504.0,22.0,26999.0
POCO M6,5,Orion Blue,4.4,8,256,6.74,50,5000,442.0,18.0,12999.0
MOTOROLA e13,,Cosmic Black,4.6,8,128,6.5,13,5000,264489.0,31.0,7499.0
REDMI Note,5,Midnight Black,4.3,8,128,6.67,200,5100,130361.0,10.0,25999.0
APPLE iPhone,,Midnight,4.3,,256,6.1,12,,130361.0,14.0,67999.0
Infinix SMART,,Night Black,4.3,4,64,6.6,13,6000,130361.0,30.0,6999.0
Infinix SMART,,Azure Blue,4.6,4,64,6.6,13,6000,,30.0,6999.0
Infinix SMART,,Emerald Green,5.0,4,64,6.6,13,6000,,30.0,6999.0
SAMSUNG Guru,,,4.3,,,,,800,217788.0,36.0,1599.0
Infinix HOT,,Marigold,4.2,8,128,6.6,50,5000,137902.0,30.0,8299.0
realme 11,5,Glory Gold,4.3,8,256,6.72,108,5000,47439.0,13.0,19999.0
realme C55,,Sunshower,4.3,6,64,6.72,64,5000,17197.0,21.0,13999.0
OPPO Reno,5,Rock Grey,4.6,8,256,6.7,50,5000,2841.0,11.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,30849.0,16.0,39999.0
SAMSUNG Galaxy,5,Green,4.3,12,256,6.8,200,5000,217788.0,12.0,124999.0
realme C55,,Sunshower,3.3,8,128,6.72,64,5000,258.0,28.0,13999.0
SAMSUNG Guru,,,4.1,,,,,800,36617.0,30.0,1999.0
GFive U707+,,,3.9,,16,1.8,3,1000,7059.0,34.0,692.0
MOTOROLA g14,,Pale Lilac,4.2,4,128,6.5,50,5000,20275.0,45.0,8499.0
itel Magic,,,4.2,,,2.4,3,2500,6479.0,30.0,1746.0
SAMSUNG Galaxy,5,Stardust Silver,4.3,8,256,6.7,108,6000,12377.0,25.0,24999.0
REDMI 12,5,Pastel Blue,4.3,8,256,6.79,50,5000,12377.0,25.0,14999.0
Google Pixel,,Lemongrass,4.6,8,128,6.3,50,4270,207174.0,25.0,44999.0
Google Pixel,,Snow,4.4,8,128,6.3,50,4270,7056.0,15.0,44999.0
APPLE iPhone,,Black,4.4,,64,6.1,12,,7056.0,20.0,41999.0
Nothing Phone,,2,4.1,8,128,6.7,50,4700,36617.0,20.0,39999.0
Nothing Phone,,2,4.1,8,128,6.7,50,4700,25504.0,34.0,39999.0
MOTOROLA g14,,Sky Blue,4.2,4,128,6.5,50,5000,363.0,31.0,8499.0
MOTOROLA e13,,Little Boy Blue,4.4,8,128,6.5,13,5000,103760.0,20.0,7499.0
REDMI 13c,5,Startrail Silver,4.4,6,128,6.74,50,5000,103760.0,30.0,12712.0
realme C55,,Sunshower,4.3,4,64,6.72,64,5000,,30.0,8999.0
realme C55,,Rainy Night,4.0,4,64,6.72,64,5000,,25.0,8999.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,24459.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,194936.0,11.0,39999.0
SAMSUNG Galaxy,5,Electric Black,4.3,6,128,6.5,50,6000,30849.0,34.0,15999.0
SAMSUNG Galaxy,,Nightsky Green,4.3,4,128,6.6,50,6000,16.0,50.0,8499.0
realme C55,,Rainforest,4.3,8,128,6.72,64,5000,17197.0,12.0,13999.0
SAMSUNG Galaxy,,Mint,4.6,8,128,6.4,50,4500,3451.0,31.0,54999.0
realme C55,,Rainforest,4.2,6,64,6.72,64,5000,13205.0,14.0,11999.0
APPLE iPhone,,Yellow,4.3,,128,6.1,48,,30849.0,16.0,66999.0
SAMSUNG Galaxy,5,Smoky Teal,4.5,6,128,6.6,50,6000,3563.0,30.0,13269.0
realme C55,,Rainy Night,4.4,8,128,6.72,64,5000,442.0,12.0,13999.0
SAMSUNG Galaxy,5,Cream,4.1,8,256,6.1,50,3900,28398.0,27.0,69999.0
REDMI Note,5,Coral Purple,4.3,8,256,6.67,200,5100,124699.0,9.0,27999.0
REDMI Note,,Sunrise Gold,4.3,6,64,6.67,50,5000,217788.0,36.0,11999.0
Samsung Galaxy,5,Graphite,3.9,8,256,6.4,12,4500,15276.0,54.0,33999.0
SAMSUNG Guru,,,4.2,,,,,800,50496.0,7.0,2499.0
Kechaoda K10,,,4.3,,,0.66,,300,259.0,19.0,1044.0
MOTOROLA g4,5,Mint Green,4.4,12,256,6.5,50,6000,10020.0,27.0,15999.0
REDMI Note,5,Fusion Purple,4.3,12,512,6.67,200,5000,12377.0,5.0,35999.0
Nothing Phone,,2,4.2,12,512,6.7,50,4700,4251.0,30.0,41999.0
Google Pixel,,Obsidian,4.4,8,128,6.3,50,4270,10020.0,25.0,44999.0
realme Narzo,,Feather Black,4.4,6,128,6.74,50,5000,10020.0,19.0,10499.0
Nothing Phone,,2,4.6,12,256,6.7,50,4700,59225.0,25.0,40999.0
Nothing Phone,,2,4.3,12,256,6.7,50,4700,,27.0,39999.0
APPLE iPhone,,Purple,4.0,,128,6.7,12,,,17.0,65999.0
OPPO Reno,5,Rock Grey,4.4,8,256,6.7,50,5000,2860.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.0,12,256,6.7,50,4600,19788.0,11.0,39999.0
OnePlus Nord,5,Aqua Surge,4.3,12,256,6.7,50,5000,1783.0,3.0,27907.0
Kechaoda A26,,,4.5,,16,0.66,,800,10698.0,30.0,975.0
realme 11,5,Astral Black,3.9,12,256,6.7,100,5000,9292.0,9.0,27999.0
OnePlus 11R,5,Galactic Silver,4.5,8,128,6.7,50,5000,10698.0,22.0,39900.0
SAMSUNG Guru,,,4.5,,,1.5,,800,10698.0,27.0,1699.0
OnePlus 11R,5,Sonic Black,3.6,8,128,6.7,50,5000,836.0,31.0,39999.0
OnePlus 11R,5,Sonic Black,4.3,8,128,6.7,50,5000,3107.0,33.0,39809.0
I Kall,,champagne,4.0,6,128,6.5,13,5000,5465.0,10.0,7989.0
POCO C65,,Matte Black,4.3,4,128,6.74,50,5000,217788.0,9.0,7499.0
SAMSUNG GURU,,,4.4,,0,,0,800,17047.0,9.0,1740.0
SAMSUNG Guru,,,4.4,,16,,0,800,17047.0,9.0,2499.0
realme 11,5,Astral Black,4.4,12,256,6.7,200,5000,17047.0,2.0,29999.0
realme 11,5,Oasis Green,4.4,12,256,6.7,200,5000,42632.0,36.0,29999.0
realme 11,5,Sunrise Beige,4.1,12,256,6.7,200,5000,28398.0,30.0,29999.0
OnePlus Nord,5,Chromatic Gray,4.0,8,256,6.72,108,5000,4316.0,44.0,21484.0
REDMI Note,,Lunar Black,3.9,6,64,6.67,50,5000,7059.0,26.0,11999.0
Micromax X413,,,4.2,,,1.77,3,800,6479.0,22.0,844.0
itel Magic,,,4.1,,,2.4,3,2500,13098.0,54.0,1779.0
REDMI 12,5,Jade Black,4.3,8,256,6.79,50,5000,124699.0,30.0,14620.0
REDMI Note,5,Sunrise Gold,4.0,6,128,6.67,48,5000,19788.0,30.0,16999.0
Samsung Galaxy,5,Graphite,4.0,8,128,6.4,12,4500,,9.0,31999.0
Kechaoda A26,,,5.0,,16,0.66,,800,,9.0,975.0
MOTOROLA g84,5,Midnight Blue,4.2,12,256,6.55,50,5000,28147.0,17.0,18999.0
APPLE iPhone,,Black,4.6,,64,6.1,12,,207174.0,15.0,41999.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,4248.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.0,12,256,6.7,50,4600,2270.0,11.0,39999.0
Infinix HOT,5,Knight Black,4.2,4,128,6.78,50,6000,6479.0,16.0,12499.0
LAVA A1,,,4.3,,32,1.77,,1000,217788.0,25.0,1028.0
REDMI 12,5,Pastel Blue,4.4,8,256,6.79,50,5000,103760.0,25.0,14999.0
SAMSUNG Guru,,,4.4,,16,,0,800,103760.0,35.0,1670.0
realme C55,,Rainy Night,4.0,4,64,6.72,64,5000,881.0,30.0,8999.0
realme C55,,Sunshower,4.4,4,64,6.72,64,5000,2860.0,30.0,8999.0
itel A60S,,Moonlit Violet,4.2,8,128,6.6,8,5000,6501.0,27.0,6505.0
OnePlus Nord,5,Aqua Surge,4.2,12,256,6.7,50,5000,22527.0,3.0,27907.0
Infinix Zero,5,Fantasy Purple,4.2,12,256,6.78,108,5000,22527.0,20.0,23999.0
Infinix HOT,5,Aurora Blue,4.4,8,128,6.78,50,6000,4105.0,23.0,12999.0
Infinix HOT,5,Miami Orange,4.3,8,128,6.78,50,6000,194936.0,23.0,12999.0
