Brand_Model,Generation(G),Color,Ratings,RAM(GB),ROM(GB),Display(inch),Camera(MP),Battery(mAh),Reviews,Discount(%off),Price(rupees)
OnePlus Nord,5,Aqua Surge,4.6,8,128,6.7,50,5000,1374.0,8.0,24579.0
SAMSUNG Galaxy,,Nightsky Green,4.3,4,128,6.6,50,6000,17197.0,50.0,8499.0
APPLE iPhone,,Pink,4.3,,256,6.7,48,,30849.0,12.0,86999.0
realme C55,,Rainforest,4.3,6,64,6.72,64,5000,12601.0,14.0,11999.0
realme C55,,Rainforest,3.5,8,128,6.72,64,5000,151.0,12.0,13999.0
OPPO A17,,Lake Blue,4.3,4,64,6.56,50,5000,1171.0,33.0,9999.0
Jio B1,,UPI,4.2,,,2.4,3,2000,4248.0,43.0,1479.0
Google Pixel,,Hazel,4.2,8,256,6.2,50,4575,,16.0,82999.0
Infinix HOT,5,Miami Orange,5.0,4,128,6.78,50,6000,,20.0,12499.0
REDMI 13c,5,Starlight Black,4.2,6,128,6.74,50,5000,363.0,22.0,12378.0
itel Ace2,,,4.0,,32,1.8,0,1000,3067.0,37.0,899.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,37343.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.0,12,256,6.7,50,4600,24900.0,11.0,39999.0
POCO M5,,Power Black,4.0,4,64,6.58,50,5000,19788.0,50.0,7999.0
Kechaoda K112,,,4.2,,32,2.4,3,3600,33744.0,12.0,1580.0
Kechaoda A26,,,4.2,,16,0.66,,800,33744.0,31.0,965.0
Infinix Smart,,Jade White,4.2,2,64,6.6,8,5000,13205.0,25.0,5999.0
Infinix Smart,,Green Apple,4.2,2,64,6.6,8,5000,370.0,25.0,5999.0
SAMSUNG Galaxy,5,Berry Blue,4.2,6,128,6.6,50,6000,33744.0,29.0,13462.0
REDMI 13c,5,Startrail Silver,4.2,4,128,6.74,50,5000,33744.0,17.0,11508.0
Infinix Smart,,Silk Blue,4.3,2,64,6.6,8,5000,701.0,25.0,5999.0
Infinix Smart,,Ink Black,4.1,2,64,6.6,8,5000,88805.0,25.0,5999.0
REDMI Note,5,Fusion Black,3.6,8,256,6.67,200,5000,342.0,5.0,31999.0
Nokia 105,,,4.4,,,1.77,0,800,83111.0,20.0,1278.0
Jio B1,,UPI,4.3,,,2.4,3,2000,2352.0,45.0,1409.0
realme 11,5,Oasis Green,4.4,8,256,6.7,100,5000,83111.0,10.0,24999.0
Infinix Zero,5,Fantasy Purple,4.4,8,256,6.78,108,5000,83111.0,17.0,22999.0
realme 11,5,Astral Black,4.2,8,256,6.7,100,5000,5617.0,10.0,24999.0
realme 11,5,Sunrise Beige,4.3,8,256,6.7,100,5000,26641.0,10.0,24999.0
SAMSUNG Galaxy,5,Mystic Green,4.1,8,128,6.5,50,6000,104496.0,30.0,17999.0
POCO X,5,Yellow,4.5,6,128,6.67,108,5000,3563.0,11.0,22999.0
MOTOROLA G32,,Rose Gold,4.2,8,128,6.5,50,5000,,47.0,9999.0
SAMSUNG Galaxy,5,Green,5.0,8,128,6.1,50,3900,,27.0,64999.0
OnePlus 11R,5,Sonic Black,4.5,16,256,6.7,50,5000,9388.0,9.0,44969.0
Google Pixel,,Obsidian,4.3,8,128,6.2,50,4575,1171.0,30.0,75999.0
REDMI Note,5,Arctic White,4.4,8,256,6.67,200,5100,442.0,21.0,27999.0
Kechaoda A26,,,4.0,,16,0.66,,800,19788.0,11.0,975.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,426.0,25.0,31999.0
OPPO Reno,5,Pearl White,4.5,12,256,6.7,50,4600,10698.0,29.0,39999.0
POCO C65,,Matte Black,4.5,8,256,6.74,50,5000,10698.0,23.0,9999.0
OnePlus 11R,5,Galactic Silver,4.5,8,128,6.7,50,5000,10698.0,36.0,39975.0
OnePlus 11R,5,Sonic Black,4.5,8,128,6.7,50,5000,10698.0,23.0,39809.0
OnePlus 11R,5,Sonic Black,4.1,8,128,6.7,50,5000,199.0,30.0,39998.0
OnePlus 11R,5,Sonic Black,4.5,8,128,6.7,50,5000,1120.0,2.0,39999.0
REDMI 13c,,Stardust Black,4.1,6,128,6.74,50,5000,28398.0,23.0,9858.0
realme C67,5,Dark Purple,4.5,4,128,6.72,50,5000,1120.0,22.0,12999.0
REDMI Note,,Lunar Black,4.0,6,64,6.67,50,5000,4316.0,23.0,11999.0
realme C67,5,Sunny Oasis,4.4,4,128,6.72,50,5000,1938.0,54.0,12999.0
Micromax X413,,,4.4,,,1.77,3,800,557.0,43.0,844.0
vivo V29,5,Red,4.1,12,256,6.78,50,4600,1036.0,44.0,36999.0
SAMSUNG Galaxy,,Mint,4.1,8,256,6.7,12,3700,13098.0,29.0,99999.0
Nokia 106,,,4.1,,,6.7,,1000,1036.0,54.0,1299.0
REDMI Note,5,Sunrise Gold,4.3,6,128,6.67,48,5000,124699.0,2.0,16999.0
Nokia 106,,,4.0,,,6.7,,1000,4316.0,36.0,1299.0
Samsung Galaxy,5,Graphite,3.9,8,128,6.4,12,4500,7059.0,,31999.0
Micromax X413,,,4.4,,,1.77,3,800,,,844.0
itel Magic,,,5.0,,,2.4,3,2500,,,1779.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,204.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.2,12,256,6.7,50,4600,22527.0,11.0,39999.0
itel S23,,Starry Black,4.3,4,128,6.6,50,5000,17787.0,26.0,6960.0
Infinix HOT,5,Knight Black,4.2,8,128,6.78,50,6000,4248.0,23.0,12999.0
REDMI 11,,Peppy Purple,4.1,6,128,6.58,50,5000,33722.0,39.0,10249.0
Infinix HOT,5,Aurora Blue,4.2,4,128,6.78,50,6000,5291.0,16.0,12499.0
Kechaoda K115,,,4.0,,,1.44,3,850,24900.0,26.0,1099.0
SAMSUNG Galaxy,5,Awesome Graphite,4.5,8,256,6.6,48,5000,9388.0,25.0,29499.0
Kechaoda K112,,,4.5,,32,2.4,3,3600,10698.0,11.0,1585.0
OnePlus 11R,5,Galactic Silver,4.2,16,256,6.7,50,5000,28147.0,1.0,44999.0
OnePlus 11R,5,Sonic Black,4.1,8,128,6.7,50,5000,8960.0,17.0,39499.0
MOTOROLA g84,5,Midnight Blue,4.0,12,256,6.55,50,5000,2270.0,23.0,18999.0
Nokia 5310,,8 MB RAM,4.2,,32,2.4,3,1200,4248.0,25.0,3299.0
LAVA A1,,,4.2,,32,1.77,,1000,6479.0,16.0,1028.0
Infinix HOT,5,Knight Black,4.2,4,128,6.78,50,6000,426.0,25.0,12499.0
REDMI 12,5,Moonstone Silver,4.4,8,256,6.79,50,5000,42632.0,25.0,14999.0
POCO C65,,Pastel Blue,3.9,8,256,6.74,50,5000,12095.0,3.0,9999.0
OnePlus Nord,5,Chromatic Gray,4.4,8,256,6.72,108,5000,26951.0,50.0,21256.0
Micromax X512,,,4.2,,,1.77,3,1750,5291.0,10.0,899.0
vivo V27,5,Noble Black,4.2,8,128,,50,4600,22527.0,25.0,32999.0
SAMSUNG Galaxy,5,Awesome Lime,4.2,8,256,6.6,48,5000,6501.0,23.0,29499.0
Infinix HOT,5,Miami Orange,4.2,8,128,6.78,50,6000,22527.0,20.0,12999.0
Infinix Zero,5,Fantasy Purple,4.0,12,256,6.78,108,5000,,23.0,23999.0
Infinix HOT,5,Aurora Blue,5.0,8,128,6.78,50,6000,,11.0,12999.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,1036.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.2,12,256,6.7,50,4600,1606.0,11.0,39999.0
Nokia 106,,,4.3,,,6.7,,1000,51.0,23.0,1299.0
SAMSUNG Galaxy,5,Midnight Blue,4.6,6,128,6.5,50,6000,264489.0,32.0,16547.0
REDMI Note,5,Coral Purple,4.4,12,256,6.67,200,5100,15778.0,9.0,29999.0
APPLE iPhone,,Starlight,4.3,,256,6.1,12,,1318.0,14.0,67999.0
vivo V29e,5,Artistic Blue,3.3,8,128,6.78,64,5000,258.0,15.0,26999.0
realme Narzo,5,Stellar Green,4.3,6,128,6.72,50,5000,1111.0,14.0,13685.0
GFive U707+,,,4.2,,16,1.8,3,1000,237.0,30.0,692.0
realme Narzo,5,,4.3,4,128,6.72,50,5000,519.0,14.0,12750.0
realme C67,5,Dark Purple,4.2,6,128,6.72,50,5000,237.0,16.0,14999.0
Tecno Spark,,Orange,4.0,4,64,6.56,13,5000,3067.0,30.0,6949.0
realme C67,5,Sunny Oasis,4.0,6,128,6.72,50,5000,88.0,16.0,14999.0
itel Ace2,,,4.3,,32,1.8,0,1000,529.0,37.0,899.0
itel P40,,Luxurious Gold,4.0,8,128,6.6,13,6000,9295.0,23.0,6899.0
Nokia 130,,,4.1,,,2.4,0,1450,37343.0,9.0,1985.0
Kechaoda A27,,,4.2,,16,0.66,,800,77.0,34.0,975.0
POCO M5,,Power Black,4.3,4,64,6.58,50,5000,17787.0,50.0,7999.0
SAMSUNG Galaxy,5,Light Blue,4.4,8,128,6.5,50,5000,15778.0,9.0,19499.0
REDMI 11,,Peppy Purple,4.2,6,128,6.58,50,5000,33744.0,39.0,10249.0
vivo V29e,5,Artistic Blue,4.4,8,256,6.78,64,5000,15778.0,14.0,28999.0
Infinix Smart,,Green Apple,4.2,2,64,6.6,8,5000,33744.0,25.0,5999.0
vivo V29e,5,Artistic Red,4.3,8,256,6.78,64,5000,,14.0,28999.0
Infinix Smart,,Jade White,4.0,2,64,6.6,8,5000,,25.0,5999.0
Kechaoda A26,,,4.0,,16,0.66,,800,19788.0,31.0,965.0
Kechaoda K112,,,4.0,,32,2.4,3,3600,24900.0,12.0,1580.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,12002.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.1,12,256,6.7,50,4600,88805.0,11.0,39999.0
SAMSUNG Guru,,,4.4,,16,,0,800,15778.0,34.0,1697.0
Nokia 105,,,4.3,,,1.77,0,800,1111.0,8.0,1275.0
vivo V29e,5,Artistic Red,4.4,8,128,6.78,64,5000,1022.0,15.0,26999.0
realme Narzo,5,Stellar Green,4.3,4,128,6.72,50,5000,99.0,16.0,12590.0
OnePlus Nord,5,Tempest Gray,4.2,16,256,6.74,50,5000,3201.0,5.0,36000.0
itel ACE,,WITHOUT CHARGER,4.2,,,1.8,0,1000,3201.0,40.0,829.0
SAMSUNG Galaxy,5,ICY Silver,4.4,4,128,6.6,50,6000,1938.0,32.0,12071.0
SAMSUNG Galaxy,5,Berry Blue,4.2,4,128,6.6,50,6000,5617.0,30.0,12479.0
vivo V29,5,Black,4.3,12,256,6.78,50,4600,99.0,30.0,36999.0
SAMSUNG Galaxy,5,Mystic Green,3.9,8,128,6.5,50,6000,7954.0,40.0,17999.0
itel ACE,,WITHOUT CHARGER,4.0,,32,1.8,0,1000,881.0,22.0,829.0
REDMI Note,5,Matte Black,4.5,4,128,6.67,48,5000,3563.0,28.0,15499.0
itel A60S,,SHADOW BLACK,4.3,8,128,6.6,8,5000,26641.0,27.0,6468.0
SAMSUNG Galaxy,5,Green,3.9,8,128,6.1,50,3900,20417.0,11.0,64999.0
POCO X,5,Yellow,4.3,6,128,6.67,108,5000,845.0,42.0,22999.0
Kechaoda K66,,,3.9,,,1.44,3,400,18827.0,29.0,1150.0
POCO C65,,Matte Black,4.0,6,128,6.74,50,5000,96.0,42.0,8499.0
Micromax X412,,,4.2,,,1.77,,800,201.0,16.0,868.0
Snexian ROCK,,,4.2,,16,1.8,3,3000,,9.0,2500.0
REDMI 13c,5,Starlight Black,5.0,8,256,6.74,50,5000,,30.0,14498.0
realme Narzo,,Feather Black,4.2,4,64,6.74,50,5000,4439.0,22.0,8482.0
realme Narzo,,Feather Gold,4.2,4,64,6.74,50,5000,4439.0,22.0,8520.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,6997.0,21.0,31999.0
OPPO Reno,5,Pearl White,3.7,12,256,6.7,50,4600,3709.0,11.0,39999.0
SAMSUNG Galaxy,5,Black,4.1,6,128,6.6,50,5000,8573.0,19.0,16999.0
Micromax X513+,,,4.2,,,1.77,3,1750,370.0,38.0,1098.0
KARBONN K9,,,4.1,,,2.6,2,1800,1036.0,16.0,1278.0
REDMI 13c,5,Starlight Black,3.8,4,128,6.74,50,5000,1989.0,19.0,11312.0
Nokia 106,,,3.8,,,6.7,,1000,1989.0,23.0,1299.0
Kechaoda K55,,,4.2,,,1.8,3,400,77.0,28.0,1140.0
Kechaoda K55,,,4.0,,,1.8,3,400,530.0,29.0,1135.0
SAMSUNG Galaxy,5,Light Blue,4.0,8,128,6.5,50,5000,88.0,9.0,19499.0
MOTOROLA e22s,,Arctic Blue,4.3,4,64,6.5,16,5000,1171.0,31.0,7499.0
itel P40,,Luxurious Gold,4.0,8,128,6.6,13,6000,1600.0,23.0,6899.0
Google Pixel,,Obsidian,4.2,8,128,6.2,50,4575,4251.0,28.0,75999.0
Kechaoda K60,,,4.4,,16,2.4,3,3600,1938.0,21.0,1799.0
realme Narzo,,Feather Gold,4.3,6,128,6.74,50,5000,51.0,9.0,10200.0
vivo V29,5,Blue,4.1,12,256,6.78,50,4600,4171.0,20.0,36999.0
REDMI Note,5,Coral Purple,3.8,12,256,6.67,200,5100,24.0,45.0,29999.0
REDMI Note,5,Frosted Green,4.3,8,256,6.67,48,5000,519.0,30.0,18999.0
Micromax J3,,,3.8,,,1.77,,800,24.0,45.0,848.0
Tecno Spark,,Orange,4.5,4,64,6.56,13,5000,6918.0,20.0,6949.0
Micromax J3,,,4.1,,,1.77,,800,,9.0,850.0
vivo V29,5,Blue,1.0,8,128,6.78,50,4600,,31.0,32999.0
realme Narzo,5,Nebula Purple,4.3,4,128,6.72,50,5000,1111.0,13.0,12999.0
REDMI Note,,Ice Blue,4.1,6,64,6.67,50,5000,28398.0,36.0,11999.0
realme Narzo,5,Stellar Green,4.3,4,128,6.72,50,5000,1111.0,16.0,12590.0
realme C67,5,Dark Purple,4.2,6,128,6.72,50,5000,237.0,16.0,14999.0
OPPO Reno,5,Rock Grey,4.2,8,256,6.7,50,5000,237.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,5059.0,11.0,39999.0
realme C67,5,Sunny Oasis,3.9,6,128,6.72,50,5000,3893.0,16.0,14999.0
Google Pixel,,Obsidian,4.3,12,128,6.7,50,4926,99.0,24.0,63999.0
SAMSUNG Guru,,,4.5,,16,,0,800,1120.0,34.0,1697.0
itel ACE,,WITHOUT CHARGER,4.5,,,1.8,0,1000,1120.0,40.0,829.0
realme C67,5,Sunny Oasis,4.3,4,128,6.72,50,5000,4973.0,23.0,12999.0
realme C67,5,Dark Purple,3.9,4,128,6.72,50,5000,4861.0,23.0,12999.0
IQOO Z6,5,With Charger,3.9,6,128,6.68,50,5000,4861.0,24.0,14399.0
Micromax X818,,,4.2,,,2.8,3,1450,2813.0,31.0,1510.0
Micromax X818,,,4.2,,,2.8,3,1450,1606.0,28.0,1574.0
SAMSUNG Galaxy,5,Awesome Graphite,4.2,8,256,6.4,50,5000,77.0,18.0,37499.0
SAMSUNG Galaxy,5,Midnight Blue,4.3,6,128,6.5,50,6000,99.0,32.0,16547.0
SAMSUNG Galaxy,5,Blue Black,4.0,8,128,6.5,50,5000,96.0,9.0,19499.0
itel ACE,,WITHOUT CHARGER,3.9,,32,1.8,0,1000,15276.0,40.0,829.0
Snexian ROCK,,,4.6,,16,1.8,3,3000,1374.0,16.0,2500.0
Kechaoda K10,,,3.6,,,0.66,,300,65623.0,30.0,979.0
APPLE iPhone,,Yellow,4.2,,128,6.7,48,,5617.0,14.0,76999.0
I Kall,,,4.2,,,1.77,3,1000,,27.0,729.0
SAMSUNG Galaxy,5,Orchid Violet,5.0,8,128,6.5,50,6000,,30.0,17999.0
OPPO Reno,5,Rock Grey,4.3,8,256,6.7,50,5000,82605.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.4,12,256,6.7,50,4600,42632.0,11.0,39999.0
Nokia 105,,,4.3,,,1.8,,800,367.0,20.0,1115.0
OnePlus Nord,5,Chromatic Gray,3.9,8,256,6.72,108,5000,20417.0,3.0,21256.0
Nokia 130,,,4.5,,,2.4,,1450,4868.0,13.0,1913.0
Kechaoda K66,,,4.2,,,1.8,3,400,5291.0,42.0,1150.0
vivo V29,5,Black,4.1,8,256,6.78,50,4600,8960.0,25.0,39999.0
SAMSUNG Galaxy,5,Awesome Lime,4.4,8,256,6.6,48,5000,1161.0,23.0,29499.0
Nokia 5310,,8 MB RAM,4.1,,32,2.4,3,1200,52.0,21.0,3299.0
vivo Y200,5,Jungle Green,4.4,8,128,6.67,64,4800,557.0,8.0,21999.0
Tecno Spark,,Gravity Black,3.7,3,64,6.56,13,5000,6150.0,2.0,6884.0
SAMSUNG Galaxy,,Cream,4.1,8,256,6.7,12,3700,28398.0,37.0,99999.0
Micromax X809,,,4.4,,,2.8,1,1000,26951.0,33.0,1256.0
REDMI Note,,Sunrise Gold,4.2,6,128,6.67,50,5000,950.0,13.0,13999.0
vivo V27,5,Magic Blue,3.9,8,128,,50,4600,23145.0,33.0,31999.0
SAMSUNG Galaxy,5,Waterfall Blue,4.2,6,128,6.5,50,6000,2813.0,33.0,16215.0
MOTOROLA e32,,Eco Black,4.1,4,64,6.5,50,5000,462.0,18.0,7999.0
SAMSUNG Galaxy,5,Awesome White,4.6,8,256,6.4,50,5000,264489.0,19.0,37499.0
LAVA A3,,White,4.1,,32,1.77,3,1750,25504.0,14.0,1289.0
APPLE iPhone,,(PRODUCT,4.3,,256,6.1,12,,1922.0,31.0,67999.0
MOTOROLA e13,,Aurora Green,4.5,8,128,6.5,13,5000,1339.0,24.0,7499.0
IQOO Z7s,5,Pacific Night,4.3,8,128,6.38,64,4500,52.0,5.0,18046.0
vivo V29,5,Black,3.9,12,256,6.78,50,4600,,33.0,42999.0
Tecno Spark,,Mystery White,5.0,4,64,6.56,13,5000,,14.0,7598.0
Snexian Guru,,,3.3,,16,1.8,3,800,26479.0,26.0,609.0
MOTOROLA g13,,Lavender Blue,4.0,4,128,6.5,50,5000,55000.0,35.0,8999.0
OPPO Reno,5,Rock Grey,4.3,8,256,6.7,50,5000,367.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.3,12,256,6.7,50,4600,529.0,11.0,39999.0
Nokia 130,,,4.0,,,2.4,,1450,1346.0,13.0,1913.0
Nokia 130,,,3.7,,,2.4,0,1450,3019.0,2.0,2149.0
LAVA Hero,,,4.1,,32,1.8,,620,5053.0,24.0,909.0
Cellecor X3,,,4.3,,32,1.8,3,1000,259.0,44.0,979.0
MOTOROLA Moto,,,4.0,,,1.8,,800,19788.0,14.0,1369.0
REDMI Note,5,Fusion Black,3.4,12,256,6.67,200,5000,754.0,5.0,33999.0
Kechaoda A26,,,4.2,,16,0.66,0,800,19044.0,35.0,965.0
Lvix L1,,,3.7,,,1.77,3,1000,604.0,40.0,594.0
REDMI Note,5,Iceberg Blue,4.3,8,256,6.67,200,4980,1922.0,17.0,27999.0
KARBONN BHARAT,4,,4.2,,,1.8,2,1000,2503.0,49.0,1019.0
IQOO Z7S,5,Norway Blue,4.4,8,128,6.4,64,4500,557.0,24.0,18088.0
realme Narzo,,Prime Black,4.0,4,64,6.72,64,5000,4768.0,24.0,9798.0
SAMSUNG Galaxy,,Cream,4.2,8,256,6.7,12,3700,1816.0,2.0,99999.0
Micromax X512,,,4.2,,,1.77,,1750,21328.0,44.0,1007.0
IQOO Z6,5,Without Charger,4.0,6,128,6.68,50,5000,19788.0,16.0,14129.0
LAVA A3,,,3.7,,0,1.77,3,1750,67.0,8.0,1212.0
Kechaoda A26,,,4.2,,16,0.66,,800,768.0,31.0,955.0
Cellecor C1000,,,4.2,,,2.8,8,3000,77.0,2.0,1849.0
realme GT,5,Dashing Blue,4.2,8,128,6.43,64,4500,,46.0,21999.0
SAMSUNG Galaxy,5,Blue,5.0,8,256,6.5,50,5000,,8.0,22499.0
Tecno Pova,5,Dark Illusion,4.4,8,128,6.78,50,5000,32.0,23.0,15999.0
SAMSUNG Galaxy,5,Blue,4.2,8,128,6.5,50,5000,77.0,9.0,19499.0
OPPO Reno,5,Rock Grey,3.9,8,256,6.7,50,5000,15276.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.5,12,256,6.7,50,4600,750.0,11.0,39999.0
Kechaoda K10,,,4.2,,,0.66,,300,2813.0,30.0,979.0
IQOO Z7,5,Blue Lagoon,4.5,8,256,6.78,64,4600,750.0,4.0,26786.0
SAMSUNG Galaxy,5,Awesome Violet,4.5,8,256,6.4,50,5000,14487.0,18.0,37499.0
IQOO Z7,5,Blue Lagoon,3.6,8,128,6.78,64,4600,65623.0,4.0,25894.0
OPPO A17k,,Blue,3.6,3,64,6.56,8,5000,65623.0,34.0,8499.0
I Kall,,,4.1,,,1.77,3,1000,3400.0,27.0,729.0
I Kall,,,4.2,,,1.77,3,1000,5291.0,27.0,729.0
SAMSUNG Galaxy,5,Black,4.3,4,64,6.6,50,5000,1175.0,21.0,14498.0
SAMSUNG Galaxy,5,Awesome Violet,4.3,8,256,6.6,48,5000,1175.0,25.0,29499.0
OPPO A58,,Dazzling Green,4.3,6,128,6.72,50,5000,1922.0,16.0,12999.0
OPPO A58,,Glowing Black,4.6,6,128,6.72,50,5000,340.0,16.0,12999.0
IQOO Z7S,5,Norway Blue,3.7,8,128,6.4,64,4500,6150.0,28.0,17900.0
SAMSUNG Galaxy,,Icy Blue,4.6,12,256,6.2,50,4400,207174.0,3.0,154999.0
Micromax X809,,,4.0,,,2.8,1,1000,881.0,36.0,1268.0
APPLE iPhone,,Green,4.1,,64,6.1,12,,28398.0,13.0,42999.0
itel A60S,,GLACIER GREEN,3.9,8,128,6.6,8,5000,15276.0,27.0,6489.0
REDMI Note,,Lunar Black,4.3,6,128,6.67,50,5000,5059.0,33.0,13999.0
Kechaoda K10,,,3.8,,,0.66,,300,1190.0,21.0,939.0
Google Pixel,,Hazel,4.1,12,128,6.7,50,4926,,24.0,63999.0
KARBONN KX,,,3.0,,32,2.4,3,3000,,17.0,1477.0
OnePlus Nord,5,Chromatic Gray,4.4,8,128,6.72,108,5000,42632.0,4.0,19158.0
Micromax J2,,,3.8,,,1.77,,800,1046.0,39.0,840.0
Cellecor C9+,,,3.7,,,1.8,,1000,54.0,34.0,879.0
Infinix Hot,5,Blaster Green,4.1,6,128,6.6,50,5000,8783.0,35.0,12999.0
OPPO Reno,5,Rock Grey,4.1,8,256,6.7,50,5000,8783.0,21.0,31999.0
OPPO Reno,5,Pearl White,4.1,12,256,6.7,50,4600,3015.0,11.0,39999.0
Infinix Hot,5,Space Blue,3.8,6,128,6.6,50,5000,1989.0,35.0,12999.0
Kechaoda K9,,,3.8,,16,2.4,3,1700,1046.0,17.0,1230.0
Kechaoda K55,,,4.1,,32,1.8,3,400,1036.0,42.0,1140.0
Micromax J2,,,4.3,,,1.77,,800,259.0,41.0,899.0
Nokia 106,,,4.4,,,1.77,0,5000,1161.0,23.0,1449.0
REDMI Note,5,Fusion White,4.3,12,256,6.67,200,5000,4973.0,5.0,33999.0
vivo Y200,5,Jungle Green,4.1,8,128,6.67,64,4800,1036.0,21.0,21999.0
IQOO Z6,5,With Charger,3.8,6,128,6.68,50,5000,662.0,28.0,14239.0
Nokia 106,,,4.0,,,1.77,0,5000,9295.0,23.0,1449.0
Nokia C32,,Beach Pink,4.5,4,128,6.517,50,5000,1339.0,29.0,7799.0
Kechaoda A27,,,4.1,,16,0.66,,800,1036.0,37.0,999.0
vivo V29,5,Black,4.2,12,256,6.78,50,4600,2813.0,23.0,42999.0
Nokia 106,,,4.3,,,1.77,0,5000,6483.0,18.0,1449.0
SAMSUNG Galaxy,5,Awesome White,4.2,8,256,6.4,50,5000,77.0,35.0,37499.0
vivo Y16,,Steller Black,4.2,4,128,6.51,13,5000,2813.0,9.0,10999.0
SAMSUNG Galaxy,5,Blue,4.1,8,128,6.5,50,5000,6997.0,18.0,19499.0
SAMSUNG Galaxy,5,Awesome Lime,4.4,8,256,6.4,50,5000,,19.0,37499.0
SAMSUNG Galaxy,5,Light Green,5.0,6,128,6.6,50,5000,,4.0,16999.0
